,FI,LV,RU,sum
2023-01-15 02:00:00+00:00,234.0,0.0,0.0,234.0
2023-01-15 03:00:00+00:00,119.0,0.0,0.0,119.0
2023-01-15 04:00:00+00:00,0.0,0.0,39.0,39.0
2023-01-15 05:00:00+00:00,0.0,29.0,85.0,114.0
2023-01-15 06:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-15 07:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-15 08:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-15 09:00:00+00:00,0.0,0.0,2.0,2.0
2023-01-15 10:00:00+00:00,0.0,14.0,21.0,35.0
2023-01-15 11:00:00+00:00,0.0,66.0,80.0,146.0
2023-01-15 12:00:00+00:00,0.0,142.0,154.0,296.0
2023-01-15 13:00:00+00:00,0.0,197.0,214.0,411.0
2023-01-15 14:00:00+00:00,0.0,273.0,258.0,531.0
2023-01-15 15:00:00+00:00,0.0,247.0,288.0,535.0
2023-01-15 16:00:00+00:00,0.0,117.0,310.0,427.0
2023-01-15 17:00:00+00:00,0.0,87.0,234.0,321.0
2023-01-15 18:00:00+00:00,0.0,8.0,167.0,175.0
2023-01-15 19:00:00+00:00,0.0,0.0,166.0,166.0
2023-01-15 20:00:00+00:00,0.0,0.0,93.0,93.0
2023-01-15 21:00:00+00:00,0.0,0.0,151.0,151.0
2023-01-15 22:00:00+00:00,0.0,117.0,326.0,443.0
2023-01-15 23:00:00+00:00,0.0,204.0,389.0,593.0
2023-01-16 00:00:00+00:00,0.0,184.0,394.0,578.0
2023-01-16 01:00:00+00:00,0.0,193.0,376.0,569.0
2023-01-16 02:00:00+00:00,0.0,222.0,393.0,615.0
2023-01-16 03:00:00+00:00,0.0,284.0,372.0,656.0
2023-01-16 04:00:00+00:00,0.0,159.0,197.0,356.0
2023-01-16 05:00:00+00:00,0.0,109.0,180.0,289.0
2023-01-16 06:00:00+00:00,0.0,209.0,224.0,433.0
2023-01-16 07:00:00+00:00,0.0,233.0,256.0,489.0
2023-01-16 08:00:00+00:00,0.0,244.0,284.0,528.0
2023-01-16 09:00:00+00:00,0.0,238.0,288.0,526.0
2023-01-16 10:00:00+00:00,0.0,320.0,363.0,683.0
2023-01-16 11:00:00+00:00,0.0,277.0,376.0,653.0
2023-01-16 12:00:00+00:00,0.0,274.0,377.0,651.0
