,AL,BG,TR,IT,MK,sum
2024-01-13 17:00:00+00:00,186.0,389.0,198.0,0.0,349.0,1122.0
2024-01-13 18:00:00+00:00,193.0,467.0,220.0,0.0,385.0,1265.0
2024-01-13 19:00:00+00:00,230.0,414.0,176.0,0.0,433.0,1253.0
2024-01-13 20:00:00+00:00,203.0,370.0,182.0,223.0,392.0,1370.0
2024-01-13 21:00:00+00:00,244.0,495.0,227.0,484.0,385.0,1835.0
2024-01-13 22:00:00+00:00,265.0,591.0,253.0,182.0,432.0,1723.0
2024-01-13 23:00:00+00:00,238.0,626.0,284.0,0.0,441.0,1589.0
2024-01-14 00:00:00+00:00,282.0,713.0,266.0,78.0,641.0,1980.0
2024-01-14 01:00:00+00:00,320.0,740.0,265.0,54.0,637.0,2016.0
2024-01-14 02:00:00+00:00,338.0,727.0,260.0,0.0,705.0,2030.0
2024-01-14 03:00:00+00:00,346.0,728.0,264.0,0.0,714.0,2052.0
2024-01-14 04:00:00+00:00,317.0,670.0,218.0,32.0,653.0,1890.0
2024-01-14 05:00:00+00:00,301.0,573.0,208.0,0.0,589.0,1671.0
2024-01-14 06:00:00+00:00,262.0,599.0,288.0,0.0,574.0,1723.0
2024-01-14 07:00:00+00:00,80.0,476.0,223.0,0.0,327.0,1106.0
2024-01-14 08:00:00+00:00,7.0,488.0,223.0,0.0,207.0,925.0
2024-01-14 09:00:00+00:00,0.0,523.0,260.0,0.0,150.0,933.0
2024-01-14 10:00:00+00:00,0.0,552.0,259.0,0.0,132.0,943.0
2024-01-14 11:00:00+00:00,0.0,482.0,237.0,0.0,80.0,799.0
2024-01-14 12:00:00+00:00,2.0,413.0,197.0,0.0,97.0,709.0
2024-01-14 13:00:00+00:00,129.0,503.0,226.0,0.0,357.0,1215.0
2024-01-14 14:00:00+00:00,215.0,427.0,190.0,0.0,445.0,1277.0
2024-01-14 15:00:00+00:00,222.0,187.0,115.0,0.0,283.0,807.0
2024-01-14 16:00:00+00:00,110.0,59.0,80.0,86.0,172.0,507.0
2024-01-14 17:00:00+00:00,170.0,146.0,90.0,0.0,267.0,673.0
2024-01-14 18:00:00+00:00,184.0,162.0,94.0,0.0,290.0,730.0
2024-01-14 19:00:00+00:00,184.0,211.0,132.0,0.0,275.0,802.0
2024-01-14 20:00:00+00:00,197.0,253.0,127.0,0.0,219.0,796.0
2024-01-14 21:00:00+00:00,223.0,446.0,200.0,0.0,323.0,1192.0
2024-01-14 22:00:00+00:00,321.0,508.0,192.0,0.0,407.0,1428.0
