,DE,AT,SE,FR,IT,PL,ES,NL,BE,IE
2022-06-07,1278261712896.0,1131482250240.0,564643091040.0,278193519808.0,571875699961.0,686077730944.0,702023243600.0,27961570496.0,35661170624.0,261157811376.0
2022-06-08,505048370944.0,530314005504.0,788763230944.0,3928120420608.0,584429009935.5,1601393764032.0,1415660738781.0,122819455744.0,317284810752.0,81898808080.0
2022-06-09,1345691403264.0,705143144448.0,793825353872.0,341438599200.0,1957925720648.0,1133965081088.0,77644071680.0,139553169408.0,1007966656.0,118593668048.0
2022-06-10,120976267520.0,579414640768.0,594888021824.0,0.0,465964625709.0,1187909652480.0,39247968185.0,0.0,642133760.0,50999124672.0
2022-06-11,0.0,0.0,379128701792.0,0.0,36619738240.0,46115100160.0,212936270139.0,0.0,0.0,78861066880.0
2022-06-12,1644671680.0,0.0,178728292304.0,368092348864.0,4665010048.0,22468547328.0,397045172336.0,619836880.0,0.0,6821047728.0
2022-06-13,741516768256.0,179569263616.0,596186229176.0,504622574592.0,120669868240.0,1981027731712.0,112421295190.75,24444619840.0,8063733760.0,183009218144.0
2022-06-14,256183813792.0,95277925504.0,260533376624.0,21942231040.0,20223923472.0,199719234560.0,324298274776.0,78088575616.0,0.0,308506381696.0
2022-06-15,58802672640.0,0.0,336109055632.0,589612938368.0,112161471872.0,101372055936.0,927827660164.0,27494409728.0,0.0,179581662944.0
2022-06-16,429275439680.0,281937935872.0,614886985920.0,369487029120.0,179302153176.0,575001881216.0,1607598598022.75,50438571536.0,2238710848.0,680321994560.0
2022-06-17,692421740064.0,19446187264.0,155166655024.0,154099024832.0,1011731609382.0,346226367104.0,779572594002.0,309835565056.0,67049187328.0,451671494048.0
2022-06-18,116322801024.0,14561708288.0,1766585672832.0,419919847472.0,95427762720.0,1160374655552.0,774031596124.0,47452040512.0,11794509184.0,547131169664.0
2022-06-19,758951034176.0,0.0,1056622904464.0,2423010117568.0,0.0,164859129472.0,1410153984512.0,223505973760.0,260364891776.0,20131487456.0
2022-06-20,1223636555712.0,167590158336.0,102890112816.0,1614529636224.0,0.0,1879131022848.0,600405264310.0,12454550016.0,231810406400.0,61530824448.367935
2022-06-21,162285634560.0,31756161792.0,1494780315088.0,2566704002432.0,74027471613.5,750218236800.0,849494434169.5,9623517584.0,47624217216.0,183236842576.0
2022-06-22,1100533242624.0,1180556929536.0,1115774376960.0,4411534114176.0,715756076195.0,122124530560.0,811662390016.0,1642030208.0,20227213312.0,22964530216.0
2022-06-23,47010724224.0,220701122560.0,2539498880800.0,1415812514410.6514,598694754168.0,39139199488.0,554568371360.0,572900928.0,0.0,21211048576.0
2022-06-24,1188940692480.0,207425110016.0,197077050544.0,2449085215232.0,279117018688.0,881642176.0,514602813216.0,301667691520.0,290705244160.0,701174218880.0
2022-06-25,757867927744.0,575273154816.0,14157323072.0,1971837066880.0,232616034240.0,10080187264.0,453962194799.5,29367918960.0,76602388416.0,408013217152.0
2022-06-26,699037153728.0,11200861824.0,143519623232.0,2587528160768.0,3108148176.0,0.0,81722699021.47464,253044317184.0,110382572992.0,352299784192.0
2022-06-27,2754124816896.0,45153918976.0,259198251072.0,2314828459200.0,4013158376.0,31870205184.0,332992864682.0,466137794048.0,192158756864.0,222060886656.0
2022-06-28,1358915301888.0,1006850572288.0,874902916704.0,779998781888.0,799814886720.0,894470209280.0,65043913192.97464,4681886528.0,0.0,371706073184.0
2022-06-29,1143305835712.0,585270443776.0,834302955984.0,842413649920.0,422996587212.0,449185804576.0,443943802560.0,7623961024.0,6589920256.0,122358033348.0
2022-06-30,458431884324.9287,243563295744.0,283660861152.0,3084452868480.0,31595787008.0,1268728596608.0,448640841920.0,47201239520.0,114016963584.0,68462468416.0
2022-07-01,2301981521408.0,293028480128.0,1329334757696.0,512879314688.0,549174276256.0,947783517696.0,12488652928.0,193509602588.0,14057868384.0,155931809176.0
2022-07-02,74025963616.0,2008225024.0,1222085180048.0,75597637712.0,15222174872.0,1471362114944.0,74120023778.0,449149232.0,1007120512.0,42786108640.0
2022-07-03,152531763504.0,0.0,429582715152.0,53972504384.0,107322431152.0,98043800960.0,757745073592.0,5958457304.0,1511732672.0,33243998096.0
2022-07-04,387089549824.0,506892746752.0,1114476634640.0,1138297463552.0,523037108940.0,266609799968.0,44574138602.75,40032728800.0,402848224.0,15839381376.0
2022-07-05,127390960224.0,733692654080.0,1298266222528.0,2340424960.0,150306191065.0,954216138176.0,98786878441.0,8688300688.0,0.0,41779582674.0
2022-07-06,112322094208.0,17226249600.0,714307826416.0,242917022144.0,338029851440.0,1328715518176.0,1106244596343.0,103190380928.0,27575295104.0,71995637396.0
2022-07-07,1096986792320.0,533267924608.0,1230565964448.0,67843096320.0,408248957460.0,479282685536.0,39054279904.0,8955247928.0,0.0,628107992.0
2022-07-08,4713578304.0,204577953536.0,1054847726528.0,10363898816.0,1008974552152.0,875115513216.0,0.0,2549058456.0,100712056.0,13946768842.0
2022-07-09,793507044768.0,7324455040.0,2150287505280.0,70037618896.0,36776098724.0,540986760608.0,0.0,60222463008.0,7331961008.0,14874363568.0
2022-07-10,101849069344.0,235421920256.0,1398617271648.0,0.0,162180239360.0,404467928320.0,0.0,5667496216.0,0.0,1823380520.0
